date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-02-16,Crushed Up,future,28,-,15,97,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-23,Uproar,lil wayne,84,87,7,73,,,,,"[u'hip hop', u'new orleans rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-02-23,Burning Man,dierks bentley,83,84,7,76,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-02-23,You,jacquees,28,79,16,77,,,,,"[u'atl hip hop', u'deep pop r&b', u'pop', u'pop rap', u'r&b', u'rap', u'trap', u'urban contemporary']",[u'urban contemporary']
2019-02-23,Ruin My Life,zara larsson,90,90,4,86,,,,,"[u'dance pop', u'edm', u'pop', u'post-teen pop', u'scandipop', u'swedish electropop', u'swedish pop', u'tropical house']",[u'tropical house']
2019-02-23,Talk To Me,tory lanez,77,77,2,96,,,,,"[u'canadian hip hop', u'hip hop', u'melodic rap', u'pop rap', u'rap', u'southern hip hop', u'toronto rap', u'trap']",[u'trap']
2019-02-23,Rainbow,kacey musgraves,NA,,NA,98,,,,,"[u'contemporary country', u'country dawn', u'pop', u'texas country']",[u'texas country']
2019-03-02,Fake Smile,ariana grande,60,93,5,57,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-02,Lost In The Fire,gesaffelstein,50,57,19,61,,,,,[u'destroy techno'],[u'destroy techno']
2019-03-02,Ghostin,ariana grande,35,63,7,62,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-02,Sixteen,thomas rhett,69,89,6,69,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-03-02,In My Head,ariana grande,74,79,8,74,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-02,Body,loud luxury,25,90,18,82,,,,,"[u'dance pop', u'edm', u'house', u'pop', u'tropical house']",[u'tropical house']
2019-03-02,365,zedd,79,94,5,86,,,,,"[u'complextro', u'dance pop', u'edm', u'electro house', u'german techno', u'pop', u'post-teen pop', u'tropical house']",[u'tropical house']
2019-03-02,Yosemite,travis scott,44,83,15,89,,,,,[u'rap'],[u'rap']
2019-03-02,Make Up,ariana grande,64,93,20,95,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-02,Good Girl,dustin lynch,83,-,9,97,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
